name	date
murray-no-1-vienna-2016-monday	2016-10-25 09:34:00
matkowski-marrero-doubles-basel-2016-monday	2016-10-24 23:37:00
nishikori-basel-monday-2016	2016-10-24 19:08:00
basilashvili-vienna-2016-monday	2016-10-24 20:08:00
murray-djokovic-no1-battle_ttchart_1920x1080	2016-10-23 19:04:00
kickoff-event-vienna-2016-sunday-1	2016-10-23 20:00:00
cabal-farah-moscow-2016-doubles-trophy	2016-10-23 17:35:00
carreno-busta-moscow-2016-trophy	2016-10-23 16:30:00
scouting-waw-basel-2016	2016-10-23 15:33:00
del-potro-2016-stockholm-trophy-1	2016-10-23 15:09:00
antwerp-2016-final-gasquet	2016-10-23 15:34:00
stockholm-2016-doubles-final-ymer2	2016-10-23 13:49:00
nestor-roger-vasselin-antwerp-final-sunday	2016-10-23 12:34:00
race-update-vienna-thiem	2016-10-22 20:25:00
sock-stockholm-2016-saturday-2	2016-10-22 16:39:00
fognini-moscow-2016-saturday	2016-10-22 14:59:00
antwerp-2016-saturday-gasquet	2016-10-22 14:48:00
del-potro-stockholm-2016-saturday	2016-10-22 12:10:00
goffin-2016-antwerp-friday	2016-10-21 20:28:00
del-potro-stockholm-2016-friday	2016-10-21 18:08:00
fognini-moscow-2016-friday2	2016-10-21 13:53:00
melzer300_1920x1080	2016-10-21 15:23:00
medvedev-2016-moscow-thursday	2016-10-20 21:13:00
goffin-antwerp-2016-thursday	2016-10-20 21:11:00
monfils-stockholm-2016-thursday-2	2016-10-20 20:03:00
ramos-moscow-2016-wednesday	2016-10-19 22:40:00
del-potro-stockholm-2016-wednesday	2016-10-19 22:38:00
cuevas-antwerp-2016-wednesday-v2	2016-10-19 22:34:00
mikael-ymer-stockholm-2016-tuesday	2016-10-18 20:44:00
lorenzi-moscow-2016-tuesday	2016-10-18 19:13:00
edmund-antwerp-2016-tuesday	2016-10-18 17:10:00
anderson-stockholm-2016-monday	2016-10-17 19:15:00
bellucci-moscow-2016-monday	2016-10-17 17:38:00
seppi-antwerp-2016-monday	2016-10-17 16:20:00
monfils-london-finale-2016-race-update	2016-10-17 11:24:00
shanghai-2016-final-murray-reaction	2016-10-16 17:45:00
murray_alltimemasters_1920x1080_v3	2016-10-16 16:22:00
dodigmelo_dubs-qualy-london_1920x1080	2016-10-15 20:16:00
watchlive-shanghai_1920x1080_singles_final	2016-10-15 15:09:00
shanghai-2016-monfils1	2016-10-15 19:02:00
shanghai-2016-saturday-murray-	2016-10-15 14:13:00
isner-sock-shanghai-2016-saturday-doubles	2016-10-15 13:31:00
bautista-agut-shanghai-2016-saturday-sf-2	2016-10-15 12:33:00
kontinen-peers-doubles-shanghai-2016-saturday	2016-10-15 07:53:00
djokovic-shanghai-saturday-preview	2016-10-15 03:38:00
murray-shanghai-2016-friday	2016-10-14 11:54:00
kontinen-peers-shanghai-2016-friday	2016-10-14 10:42:00
djokovic-shanghai-2016-friday	2016-10-14 09:08:00
bautista-agut-shanghai-2016-friday	2016-10-14 07:17:00
murray-soares-shanghai-2016-blog	2016-10-13 16:04:00
murray-shanghai-2016-thursday	2016-10-13 11:22:00
djokovic-shanghai-2016-thursday	2016-10-13 09:50:00
tsonga-shanghai-2016-friday	2016-10-13 08:28:00
monfils-shanghai-thursday-preview	2016-10-13 02:43:00
murray-shanghai-2016-wednesday	2016-10-12 13:02:00
bryans-doubles-shanghai-2016-wednesday	2016-10-12 11:01:00
troicki-shanghai-2016-wednesday2	2016-10-12 13:00:00
nishikoriqualifies2016_1920x1080	2016-10-12 08:55:00
raonic-shanghai-2016-wednesday	2016-10-12 08:51:00
wawrinka-shanghai-2016-wednesday	2016-10-12 07:31:00
murray-shanghai-2016-wednesday-preview	2016-10-12 05:09:00
wawrinka-shanghai-2016-preview	2016-10-11 18:52:00
zverev-shanghai-2016-tuesday	2016-10-11 14:32:00
djokovic-shanghai-2016-tuesday-2	2016-10-11 12:03:00
murray-shanghai-2016-tuesday	2016-10-11 10:36:00
kyrgios-shanghai-2016-tuesday-3	2016-10-11 11:12:00
goffin-shanghai-2016-tuesday	2016-10-11 08:58:00
tsonga-shanghai-2016-monday	2016-10-10 11:38:00
djokovic-shanghai-2016-preview	2016-10-10 11:39:00
nadal-shanghai-2016-preview	2016-10-10 09:42:00
zverev-shanghai-2016-monday	2016-10-10 09:51:00
monfils-race-update-10-october-2016	2016-10-10 08:46:00
shanghai-sr-2016	2016-10-09 01:34:00
shanghai-2016-sunday-fognini	2016-10-09 14:43:00
murray-beijing-2016-sunday-trophy	2016-10-09 14:50:00
raonic-bawtf-2016-qualifies	2016-10-09 10:09:00
carreno-busta-nadal-doubles-beijing-2016-trophy	2016-10-09 10:26:00
kyrgios-tokyo-2016-trophy	2016-10-09 08:10:00
granollers-matkowski-2016-tokyo-trophy	2016-10-09 04:29:00
